NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Daun talas rebus,91.6,27,1.3,0.2,5.9,1.6,1,119,41,1.4,3,519.4,0.5,0.5,0,4641,2682,0,0.6,1.9,7,100
Daun ubi merah kukus,82.5,56,3.1,0.3,13,1.5,1.1,78,52,4.3,28,472.8,0.1,0.4,,5277,5397,0,0.2,1.1,14,100
Kacang panjang kukus,88.2,39,3,0.6,7.6,1.7,0.6,100,91,1.2,28,199,0.11,0.5,0,131,205,0.02,0.1,0.3,20,100
Kacang panjang rebus,90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24,114.5,0.1,0.4,0,128,162,0,0.07,0.2,15,100
Kangkung kukus,90.4,30,3.2,0.7,4.7,1.8,1,70,49,4.4,45,184.9,0.1,0.3,0,2370,5837,0.03,0.28,1.4,11,100
Kangkung rebus,93,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31,98,0.1,0.3,0,2370,4325,0.01,0.22,1.2,13,100
DP015,95,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4,236,0,0.7,,187,65,0.15,0.04,0.3,35,100
Selada rebus,93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24,160.7,0.05,0.2,,2499,3700,0.08,0.2,0.6,27,100
Taoge goreng,79.2,88,3.2,2.1,14,0.7,1.5,168,50,5.7,,,,,2,,613,0.05,,,0,100
Taoge seduh,91.9,28,3,0.8,4,1,0.3,52,73,0.5,18,58.3,0.19,0.4,,46,18,0.1,0,0.9,2,87
Terung panjang kukus,92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9,57,67.1,0.2,0,99,20,0,0.07,0.7,1,100
Wortel rebus,92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41,117.3,0.1,0.2,0,3824,5396,0.01,0.03,0.7,12,100
Wortel kukus,89.5,37,1,0.6,8.3,1.1,0.6,44,30,0.6,43,122.5,0.11,0.3,0,3994,7150,0.02,0.03,0.8,14,100
Asinan Bogor sayuran,78,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483,,,,10,,146,0.28,,,5,100
Anyang sayur,76.9,126,3.4,7.9,10.3,5.4,1.5,180,1,2.9,290,181,0.3,1.2,,3263,,0.2,,,,100
Ares sayur,77.7,113,0.9,7.2,11.2,4.7,3,63,5,1.5,1413,"1030.
 0",0.7,3.8,,6,,0.1,,0.5,,100
Arwan sirsir,59,277,2.4,25,10.7,4.6,2.9,120,40,2.4,240,320,0.2,0.9,,1578,,0.1,0.2,0,11,100
Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179,72,8.3,53,427,0.4,0.2,,44,,0.3,,4.4,,100
Botok lamtoro,63.9,186,11.7,9.7,13,2.1,2.2,771,322,26,,,,,18,,179,0.27,,,2,100
Buntil daun talas,74.5,141,4.4,10.2,8,1.8,3,149,121,14.5,,,,,13,,8610,0.25,,,1,100
Cammetutu,79.6,102,3.2,6,8.7,4.3,2.5,41,93,0.5,443,518,0.3,0.7,,1123,,0.3,0.4,0.4,19,100
Cap cai sayur,82.7,97,5.8,6.3,4.2,0.6,1,287,89,1.8,405,,,,45,,1640,0.21,,,1,100
Gadogado,68.5,137,6.1,3.2,21,1.1,1.5,301,135,7.5,,,,,3,,5929,0.1,,,1,100
Gudeg sayur,69.2,160,3.3,9.2,16,2.3,2.1,62,55,12.8,,,,,0,,166,0.15,,,0,100
Gulai pakis,76.1,143,4,11.4,6,1.4,2.6,548,124,1.7,,,,,11,,9802,0.35,,,1,100
Gulai pliek,71.9,176,7.3,14.9,3.2,0,2.7,39,54,1.4,257,285,0.3,0.6,,,,,,,,100
Kadada katembe,80,110,4.5,6.9,7.1,3.9,1.5,26,77,0,178,131,0.2,0.7,,46,,0.1,,3.7,23,100
Kaparende sayur,91.7,38,2.4,2,2.6,1.5,1.3,126,68,0,170,43,0,0.3,,40,,0.1,,3.7,22,100
Karedok sayur,79,92,2.2,3.3,14.1,1.4,1.4,174,85,2.4,,,,,0,,1,0.08,,,3,100
Keripik bayam,2.3,586,4.9,40.6,50.2,0.5,1.9,236,117,3.6,,,,,0,,4544,0.16,,,0,100
Kotiu hinela tawan nggole,88.4,46,2.2,1.5,6,3.8,1.9,64,44,0,316,103,1.6,0.8,,75,,0.3,,9.7,7,100
Lema/ Rebung asam,96.3,15,1,0.4,1.9,0,0.4,17,230,2.9,3,156,0.1,0.7,,,,0.3,0,,,100
Lilin bungkus gedi,84.8,79,2.3,5.2,5.8,2.5,1.9,170,70,0.9,170,50,0.2,0.8,,,,0.2,0.1,0,18,100
Olaholah,83.9,9,2.1,6,7.1,4.4,0.9,26,3,1.2,289,266,0.3,0.6,,36,,0.2,0.1,0.4,,100
Paku hinela wulelenggapaya,83.4,77,3.5,4.6,5.4,3.6,3.1,63,85,0,469,37,0.3,0.7,,55,,0.8,0.1,0.2,4,100
Pelecing kangkung,83.8,75,2.5,2.8,10,5.4,0.9,36,3,2.1,408,381,0.1,0.4,,870,,0.7,,0.2,12,100
Purundawa,91.8,25,1.5,0.5,3.6,1.7,2.6,147,39,0,239,201,0.1,0.6,,55,,0.1,0.1,11.6,2,100
Rujak cingur,70.1,153,11.3,8.4,8,1.4,1.4,256,143,4.4,,,,,18,,2880,0.16,,,2,100
Sayur asem,93.2,29,0.7,0.6,5,0.6,0.8,40,61,3.1,,,,,14,,2075,0.1,,,0,100
Sayur bunga pepaya,83.4,49,1.7,0.3,9.8,2.7,2.1,220,220,1.3,90,350,0.1,0.1,,372,,,0.1,0,0,100
Sayur garu,70.8,178,2.6,13.9,10.6,8.4,2.1,30,130,0.9,20,120,0.1,0.3,,,,0.2,0.1,,9,100
Sayur kohukohu,72.8,133,7.3,6.6,11.2,1.2,2.1,40,120,0.2,20,50,0.1,0.3,,944,,0.2,0.2,,9,100
Sayur lilinterubuk,90.4,36,2.7,0.7,4.8,1.4,1.4,10,90,0.1,30,44,0.2,1,,,,0.3,0.2,,18,100
Sayur ndusuk,87.5,49,3.1,2.5,3.6,0,3.1,11,6,0.5,1011,88,,0.2,,,,0.2,0.1,,15,100
Sayur sop,92.7,27,1.3,2,1,0.3,2.7,168,57,1.8,,,,,20,,2569,0.1,,,0,100
Sayur umbut kelapa,85.5,67,5.2,2.9,5.1,1.4,1.3,48,81,3.2,313,108,0.2,1.1,,21,,0.2,,,5,100
Sayur umbut rotan,87.6,57,5.4,2.6,3.1,1.6,1.3,184,135,1.2,256,81,0.2,0.9,,18,0,0.2,,,6,100
Shabushabu,87.1,88,3.2,8,0.8,0.9,0.9,217,48,2.9,514,,,,82,,2000,0.2,,,0,100
Semur jengkol,52.7,212,6,10,29.1,0,2.2,77,99,1,,,,,,,81,0.14,,,4,100
Tinira ninah nggaluku,91.8,33,1.2,1.3,4.1,3.1,1.5,35,35,0,161,119,0.2,0.7,,6,0,0.3,0,3.5,10,100
Tumis bayam bersantan,91.2,48,1.4,4.2,2.6,0.5,0.6,129,27,0.8,,,,,0,,2988,0.01,,,22,100
Waluh balamak,89.4,45,0.8,0.9,8.1,7.9,1,25,25,0.5,61,15,,0.2,,1241,0,0.2,0,0.1,2,100
